Year,Month,DayofMonth,DayOfWeek,FlightDate,FlightNum,OriginAirportID,OriginCityName,OriginState,OriginStateName,DestAirportID,DestCityName,DestState,DestStateName,DepTime,DepDelayMinutes,ArrTime,ArrDelayMinutes,AirTime,Distance
2017,1,17,2,17-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1616,0,1842,0,244,1773
2017,1,18,3,18-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1614,0,1821,0,228,1773
2017,1,19,4,19-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1611,0,1826,0,236,1773
2017,1,20,5,20-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1656,37,1929,33,252,1773
2017,1,21,6,21-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1632,13,1858,2,245,1773
2017,1,22,7,22-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1636,17,1921,25,254,1773
2017,1,23,1,23-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1616,0,1907,11,264,1773
2017,1,24,2,24-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1619,0,1904,8,261,1773
2017,1,25,3,25-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1616,0,1906,10,262,1773
2017,1,26,4,26-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1618,0,1902,6,268,1773
2017,1,27,5,27-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1613,0,1842,0,251,1773
2017,1,28,6,28-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1614,0,1823,0,232,1773
2017,1,29,7,29-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1611,0,1828,0,239,1773
2017,1,30,1,30-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1614,0,1836,0,243,1773
2017,1,31,2,31-01-17,494,11057,"Charlotte, NC",NC,North Carolina,14107,"Phoenix, AZ",AZ,Arizona,1615,0,1836,0,236,1773
2017,1,11,3,11-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1305,0,1514,6,95,632
2017,1,12,4,12-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1256,0,1505,0,96,632
2017,1,13,5,13-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1312,7,1511,3,96,632
2017,1,14,6,14-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1314,9,1502,0,90,632
2017,1,18,3,18-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1304,0,1513,5,105,632
2017,1,19,4,19-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1259,0,1458,0,92,632
2017,1,20,5,20-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1303,0,1508,0,98,632
2017,1,21,6,21-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1314,9,1508,0,92,632
2017,1,22,7,22-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1350,45,1544,36,94,632
2017,1,25,3,25-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1301,0,1457,0,97,632
2017,1,26,4,26-01-17,494,11697,"Fort Lauderdale, FL",FL,Florida,11057,"Charlotte, NC",NC,North Carolina,1255,0,1451,0,90,632
